City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,kuta,-8.7233,115.1723,28.97,79,20,8.23,ID,1686539806
336,talara,-4.5772,-81.2719,24.14,83,7,8.29,PE,1686539726
337,benito juarez,19.385,-99.165,23.33,51,75,3.09,MX,1686540146
338,wakkanai,45.4094,141.6739,22.99,60,75,8.23,JP,1686539877
339,nizhniy odes,63.6445,54.856,6.18,58,36,3.33,RU,1686540307
340,tanjung pandan,-2.75,107.65,29.92,70,77,4.56,ID,1686540307
341,vila do maio,15.1333,-23.2167,25.44,88,1,8.65,CV,1686540307
342,gaalkacyo,6.7697,47.4308,24.59,68,100,8.67,SO,1686540308
343,klyuchi,52.2667,79.1667,21.2,40,0,0.45,RU,1686540308
344,quang ngai,15.1167,108.8,29.05,71,92,2.23,VN,1686540308
345,dudinka,69.4058,86.1778,7.57,77,100,10.71,RU,1686540309
346,nuevitas,21.5453,-77.2644,25.43,90,95,2.47,CU,1686540309
347,broome,42.2506,-75.833,22.21,62,20,2.57,US,1686539771
348,side,36.7667,31.3885,21.59,85,100,2.12,TR,1686540309
349,murzuq,25.9155,13.9184,29.77,14,2,6.11,LY,1686540004
350,hasaki,35.7333,140.8333,21.27,94,100,2.14,JP,1686540310
351,bamboo flat,11.7,92.7167,28.35,84,100,8.27,IN,1686540310
352,touros,-5.1989,-35.4608,23.92,91,29,3.56,BR,1686540310
353,dyurtyuli,55.4911,54.8688,9.99,60,100,3.87,RU,1686540007
354,guerrero negro,27.9769,-114.0611,17.45,72,0,6.07,MX,1686540139
355,waddan,29.1614,16.139,23.25,58,0,6.8,LY,1686540311
356,prince george,53.9166,-122.753,24.69,23,0,2.57,CA,1686540084
357,kabare,-2.4683,28.8242,15.04,89,88,0.53,CD,1686540311
358,keflavik,64.0049,-22.5624,7.95,87,100,5.66,IS,1686540311
359,hadibu,12.65,54.0333,28.13,79,99,9.36,YE,1686540312
360,magadan,59.5667,150.8,17.52,85,91,3.81,RU,1686540312
361,ranot,7.7777,100.3213,29.93,65,100,2.44,TH,1686540312
362,suva,-18.1416,178.4415,25.71,69,75,4.12,FJ,1686539735
